path,filename,turbidity
/home/bmt.lamar.edu/bgautam3/Band_27/HD2945.JPG,HD2945.JPG,28.0
/home/bmt.lamar.edu/bgautam3/Band_27/HD3903.JPG,HD3903.JPG,25.74
/home/bmt.lamar.edu/bgautam3/Band_27/HD4576.JPG,HD4576.JPG,43.09
/home/bmt.lamar.edu/bgautam3/Band_27/HD2754.JPG,HD2754.JPG,31.51
/home/bmt.lamar.edu/bgautam3/Band_27/HD2835.JPG,HD2835.JPG,30.45
/home/bmt.lamar.edu/bgautam3/Band_27/HD3992.JPG,HD3992.JPG,20.09
/home/bmt.lamar.edu/bgautam3/Band_27/HD4190.JPG,HD4190.JPG,18.44
/home/bmt.lamar.edu/bgautam3/Band_27/HD3321.JPG,HD3321.JPG,22.91
/home/bmt.lamar.edu/bgautam3/Band_27/HD3224.JPG,HD3224.JPG,24.7
/home/bmt.lamar.edu/bgautam3/Band_27/HD3881.JPG,HD3881.JPG,35.35
/home/bmt.lamar.edu/bgautam3/Band_27/HD4382.JPG,HD4382.JPG,19.95
/home/bmt.lamar.edu/bgautam3/Band_27/HD4391.JPG,HD4391.JPG,17.38
/home/bmt.lamar.edu/bgautam3/Band_27/HD3145.JPG,HD3145.JPG,21.68
/home/bmt.lamar.edu/bgautam3/Band_27/HD3423.JPG,HD3423.JPG,31.15
/home/bmt.lamar.edu/bgautam3/Band_27/HD3407.JPG,HD3407.JPG,30.0
/home/bmt.lamar.edu/bgautam3/Band_27/HD2946.JPG,HD2946.JPG,25.24
/home/bmt.lamar.edu/bgautam3/Band_27/HD3025.JPG,HD3025.JPG,24.35
/home/bmt.lamar.edu/bgautam3/Band_27/HD3320.JPG,HD3320.JPG,23.43
/home/bmt.lamar.edu/bgautam3/Band_27/HD3528.JPG,HD3528.JPG,44.76
/home/bmt.lamar.edu/bgautam3/Band_27/HD3042.JPG,HD3042.JPG,28.08
/home/bmt.lamar.edu/bgautam3/Band_27/HD3503.JPG,HD3503.JPG,40.9
/home/bmt.lamar.edu/bgautam3/Band_27/HD3219.JPG,HD3219.JPG,20.99
/home/bmt.lamar.edu/bgautam3/Band_27/HD4289.JPG,HD4289.JPG,20.4
