ImageFile,Turbidity
HD2729.JPG,27
HD2730.JPG,28.15
HD2731.JPG,27.33
HD2732.JPG,26.93
HD2737.JPG,27.46
HD2738.JPG,28.12
HD2739.JPG,27.6
HD2740.JPG,26.81
HD2745.JPG,31.78
HD2746.JPG,33.68
HD2747.JPG,34.33
HD2748.JPG,33.18
HD2753.JPG,32.14
HD2754.JPG,31.51
HD2755.JPG,34.82
HD2756.JPG,34.89
HD2762.JPG,36.16
HD2763.JPG,33.68
HD2764.JPG,32.85
HD2825.JPG,30.28
HD2826.JPG,31.24
HD2827.JPG,32.1
HD2828.JPG,30.66
HD2833.JPG,30.54
HD2834.JPG,31.43
HD2835.JPG,30.45
HD2836.JPG,29.38
HD2841.JPG,30.94
HD2842.JPG,29.51
HD2843.JPG,29.42
HD2844.JPG,29.63
HD2849.JPG,29.52
HD2850.JPG,29.47
HD2851.JPG,30.07
HD2852.JPG,29.26
HD2857.JPG,33.47
HD2858.JPG,33.9
HD2859.JPG,35.57
HD2860.JPG,33.87
HD2921.JPG,23.72
HD2922.JPG,27.52
HD2923.JPG,25.7
HD2924.JPG,29.29
HD2929.JPG,26.05
HD2930.JPG,24.29
HD2931.JPG,25.61
HD2932.JPG,23.73
HD2937.JPG,23.92
HD2938.JPG,22.63
HD2939.JPG,24.81
HD2940.JPG,27.04
HD2945.JPG,28
HD2946.JPG,25.24
HD2947.JPG,25.5
HD2948.JPG,29.29
HD2953.JPG,28.38
HD2954.JPG,33.99
HD2955.JPG,32.05
HD2956.JPG,31.5
HD3017.JPG,25.19
HD3018.JPG,25.07
HD3019.JPG,25.04
HD3020.JPG,25.68
HD3025.JPG,24.35
HD3026.JPG,24.82
HD3027.JPG,25.78
HD3028.JPG,24.33
HD3033.JPG,24.72
HD3034.JPG,24
HD3035.JPG,25.16
HD3036.JPG,25.03
HD3041.JPG,24.33
HD3042.JPG,28.08
HD3043.JPG,24.22
HD3044.JPG,24.08
HD3049.JPG,22.01
HD3050.JPG,21.7
HD3051.JPG,21.85
HD3052.JPG,22.12
HD3113.JPG,20.53
HD3114.JPG,20.58
HD3115.JPG,22.79
HD3116.JPG,21.68
HD3121.JPG,21.64
HD3122.JPG,23.81
HD3123.JPG,22.59
HD3124.JPG,22.1
HD3129.JPG,22.12
HD3130.JPG,21.39
HD3131.JPG,21.41
HD3132.JPG,21.34
HD3137.JPG,20.86
HD3138.JPG,21.71
HD3139.JPG,22.66
HD3140.JPG,24.8
HD3145.JPG,21.68
HD3146.JPG,21.48
HD3147.JPG,21.56
HD3148.JPG,24.32
HD3208.JPG,19.62
HD3209.JPG,20.51
HD3210.JPG,19.87
HD3211.JPG,20.16
HD3216.JPG,22.72
HD3217.JPG,21.61
HD3218.JPG,23.62
HD3219.JPG,20.99
HD3224.JPG,24.7
HD3225.JPG,21.78
HD3226.JPG,23.01
HD3227.JPG,21.84
HD3232.JPG,21.91
HD3233.JPG,22.61
HD3234.JPG,21.52
HD3235.JPG,24.98
HD3240.JPG,21.92
HD3241.JPG,22.09
HD3242.JPG,21
HD3243.JPG,20.77
HD3303.JPG,22.93
HD3304.JPG,22.02
HD3305.JPG,21.69
HD3306.JPG,21.06
HD3311.JPG,22.25
HD3312.JPG,21.97
HD3313.JPG,22.69
HD3314.JPG,22.29
HD3319.JPG,22.72
HD3320.JPG,23.43
HD3321.JPG,22.91
HD3322.JPG,23.36
HD3327.JPG,28.84
HD3328.JPG,27.45
HD3329.JPG,24.83
HD3330.JPG,26.64
HD3335.JPG,27.49
HD3336.JPG,35.75
HD3337.JPG,33.72
HD3338.JPG,31.55
HD3398.JPG,25.71
HD3399.JPG,25.1
HD3400.JPG,25.79
HD3401.JPG,25.75
