path,filename,turbidity
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-15_08-10-56.JPG,2025-05-15_08-10-56.JPG,31.48
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-19_14-26-18.JPG,2025-05-19_14-26-18.JPG,33.78
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-21_16-11-23.JPG,2025-05-21_16-11-23.JPG,28.61
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-12_14-25-48.JPG,2025-05-12_14-25-48.JPG,32.1
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-19_11-41-18.JPG,2025-05-19_11-41-18.JPG,33.8
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-06-03_16-40-13.JPG,2025-06-03_16-40-13.JPG,46.07
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-06-04_12-40-17.JPG,2025-06-04_12-40-17.JPG,29.63
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-03_16-39-57.JPG,2025-05-03_16-39-57.JPG,40.22
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-17_15-56-07.JPG,2025-05-17_15-56-07.JPG,33.4
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-19_12-41-18.JPG,2025-05-19_12-41-18.JPG,34.21
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-14_12-54-32.JPG,2025-05-14_12-54-32.JPG,32.54
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-24_11-56-34.JPG,2025-05-24_11-56-34.JPG,31.53
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-07_11-10-17.JPG,2025-05-07_11-10-17.JPG,36.23
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-06-01_16-40-02.JPG,2025-06-01_16-40-02.JPG,33.62
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-06-03_17-25-13.JPG,2025-06-03_17-25-13.JPG,29.38
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-04_13-25-05.JPG,2025-05-04_13-25-05.JPG,38.98
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-06-05_13-40-21.JPG,2025-06-05_13-40-21.JPG,28.79
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-06_15-10-15.JPG,2025-05-06_15-10-15.JPG,36.53
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-25_09-26-40.JPG,2025-05-25_09-26-40.JPG,31.15
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-20_08-11-19.JPG,2025-05-20_08-11-19.JPG,31.02
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-06-05_14-55-21.JPG,2025-06-05_14-55-21.JPG,30.4
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-04_07-33-39.JPG,2025-05-04_07-33-39.JPG,43.64
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-21_09-11-23.JPG,2025-05-21_09-11-23.JPG,29.55
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-06-04_16-55-19.JPG,2025-06-04_16-55-19.JPG,28.41
/home/bmt.lamar.edu/bgautam3/SaltBarrierJuly/SB_HS_cropped_july/Band_27/2025-05-20_13-11-19.JPG,2025-05-20_13-11-19.JPG,30.56
